filepath,country,model_version,class_rank,class_uuid,kingdom,tax1,tax2,tax3,tax4,tax5,common_name,score
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,2,22f3d415-b3bc-4e37-a81a-504a69897974,mammalia,didelphimorphia,didelphidae,,,possum family,,0.1022
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,3,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,mammalia,didelphimorphia,didelphidae,didelphis,pernigra,andean white-eared opossum,,0.0464
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,4,87be3a5c-e60a-4e7e-88c7-21544914d067,mammalia,didelphimorphia,didelphidae,didelphis,virginiana,virginia opossum,,0.0264
input/semana30/camera08/IMG_0026.JPG,GT,4.0.1a,5,b59e826f-4cdc-4173-a278-8381cac17d78,mammalia,didelphimorphia,didelphidae,didelphis,,didelphis species,,0.0218
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,1,b1352069-a39c-4a84-a949-60044271c0c1,aves,,,,,bird,,0.7847
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,2,a92f5ecb-13d3-44b1-837f-d085d2e2ea19,aves,columbiformes,columbidae,,,columbidae family,,0.0132
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,3,9f87fb6d-be1d-43b4-a144-3d4750bdf6de,aves,passeriformes,cardinalidae,cardinalis,cardinalis,northern cardinal,,0.013
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,4,a0cbbf4b-946f-4982-b332-28c323510523,aves,passeriformes,leiotrichidae,garrulax,pectoralis,greater necklaced laughingthrush,,0.0128
input/semana30/camera08/IMG_0027.JPG,GT,4.0.1a,5,10305f48-5dce-47ec-a3fe-17d9b96fddfa,aves,passeriformes,turdidae,turdus,,turdus species,,0.0102
input/semana30/camera08/IMG_0028.JPG,GT,4.0.1a,1,b1352069-a39c-4a84-a949-60044271c0c1,aves,,,,,bird,,0.4487
