filepath,country,model_version,detection_index,category,label,conf,bbox_x,bbox_y,bbox_w,bbox_h
input/semana30/camera08/IMG_0099.JPG,GT,4.0.1a,1,1,animal,0.5926,0.8129,0.5099,0.0603,0.0946
input/semana30/camera08/IMG_0100.JPG,GT,4.0.1a,1,1,animal,0.8814,0.7199,0.5284,0.074,0.1005
input/semana30/camera08/IMG_0104.JPG,GT,4.0.1a,1,1,animal,0.0332,0.4736,0.6931,0.1362,0.0661
input/semana30/camera08/IMG_0106.JPG,GT,4.0.1a,1,1,animal,0.0266,0.4706,0.6905,0.1291,0.0681
input/semana30/camera08/IMG_0107.JPG,GT,4.0.1a,1,1,animal,0.0113,0.9483,0.5225,0.0517,0.1812
input/semana30/camera08/IMG_0108.JPG,GT,4.0.1a,1,1,animal,0.0171,0.8367,0.8022,0.0342,0.1481
input/semana30/camera08/IMG_0109.JPG,GT,4.0.1a,1,1,animal,0.916,0.2999,0.0992,0.2533,0.4067
input/semana30/camera08/IMG_0110.JPG,GT,4.0.1a,1,1,animal,0.0135,0.8341,0.7996,0.0365,0.1541
input/semana30/camera08/IMG_0112.JPG,GT,4.0.1a,1,1,animal,0.8065,0.7801,0.5271,0.0614,0.1316
input/semana30/camera08/IMG_0113.JPG,GT,4.0.1a,1,1,animal,0.7895,0.8996,0.539,0.1004,0.3426
input/semana30/camera08/IMG_0115.JPG,GT,4.0.1a,1,1,animal,0.8675,0.9557,0.4828,0.0443,0.1905
input/semana30/camera08/IMG_0118.JPG,GT,4.0.1a,1,1,animal,0.0686,0.9531,0.4888,0.0469,0.1448
input/semana30/camera08/IMG_0119.JPG,GT,4.0.1a,1,1,animal,0.9505,0.4568,0.5615,0.0934,0.1991
input/semana30/camera08/IMG_0120.JPG,GT,4.0.1a,1,1,animal,0.8616,0.3482,0.6435,0.1414,0.1177
input/semana30/camera08/IMG_0122.JPG,GT,4.0.1a,1,1,animal,0.0331,0.833,0.8029,0.0324,0.1521
input/semana30/camera08/IMG_0125.JPG,GT,4.0.1a,1,1,animal,0.9346,0.5647,0.5086,0.2121,0.418
input/semana30/camera08/IMG_0126.JPG,GT,4.0.1a,1,1,animal,0.9146,0.5632,0.7354,0.2511,0.2196
input/semana30/camera08/IMG_0127.JPG,GT,4.0.1a,1,1,animal,0.5308,0.9412,0.5007,0.0588,0.1779
input/semana30/camera08/IMG_0129.JPG,GT,4.0.1a,1,1,animal,0.9102,0.4509,0.6144,0.1339,0.127
input/semana30/camera08/IMG_0130.JPG,GT,4.0.1a,1,1,animal,0.8943,0.4483,0.6144,0.1417,0.1257
input/semana30/camera08/IMG_0131.JPG,GT,4.0.1a,1,1,animal,0.7411,0.9025,0.5437,0.0975,0.2097
input/semana30/camera08/IMG_0131.JPG,GT,4.0.1a,2,1,animal,0.0102,0.9089,0.541,0.0897,0.086
input/semana30/camera08/IMG_0133.JPG,GT,4.0.1a,1,1,animal,0.1835,0.8073,0.5112,0.1585,0.1204
input/semana30/camera08/IMG_0133.JPG,GT,4.0.1a,2,1,animal,0.0298,0.0216,0.3558,0.7902,0.5112
input/semana30/camera08/IMG_0134.JPG,GT,4.0.1a,1,1,animal,0.2241,0.9237,0.5159,0.0744,0.1164
input/semana30/camera08/IMG_0135.JPG,GT,4.0.1a,1,1,animal,0.8753,0.8865,0.5628,0.1135,0.1587
input/semana30/camera08/IMG_0135.JPG,GT,4.0.1a,2,1,animal,0.0269,0.7667,0.5324,0.064,0.1409
input/semana30/camera08/IMG_0136.JPG,GT,4.0.1a,1,1,animal,0.5545,0.9516,0.5205,0.0484,0.1131
input/semana30/camera08/IMG_0136.JPG,GT,4.0.1a,2,1,animal,0.1016,0.763,0.5357,0.0651,0.127
input/semana30/camera08/IMG_0137.JPG,GT,4.0.1a,1,1,animal,0.1664,0.8255,0.5086,0.1202,0.1177
input/semana30/camera08/IMG_0139.JPG,GT,4.0.1a,1,1,animal,0.6344,0.7946,0.5747,0.1882,0.2143
input/semana30/camera08/IMG_0141.JPG,GT,4.0.1a,1,1,animal,0.7941,0.474,0.5794,0.0807,0.1356
input/semana30/camera08/IMG_0142.JPG,GT,4.0.1a,1,1,animal,0.824,0.4688,0.5999,0.083,0.1144
input/semana30/camera08/IMG_0145.JPG,GT,4.0.1a,1,1,animal,0.2997,0.5026,0.0007,0.497,0.9537
input/semana30/camera08/IMG_0145.JPG,GT,4.0.1a,2,1,animal,0.0112,0.1243,0.3373,0.4881,0.416
input/semana30/camera08/IMG_0146.JPG,GT,4.0.1a,1,1,animal,0.0293,0.0063,0.3446,0.7987,0.547
input/semana30/camera08/IMG_0148.JPG,GT,4.0.1a,1,1,animal,0.0142,0.1384,0.6812,0.4725,0.2725
input/semana30/camera08/IMG_0148.JPG,GT,4.0.1a,2,1,animal,0.0123,0.4728,0.6878,0.1577,0.0734
input/semana30/camera08/IMG_0149.JPG,GT,4.0.1a,1,1,animal,0.0722,0.5368,0.295,0.0428,0.0833
input/semana30/camera08/IMG_0151.JPG,GT,4.0.1a,1,1,animal,0.9185,0.343,0.4213,0.0804,0.1567
input/semana30/camera08/IMG_0153.JPG,GT,4.0.1a,1,1,animal,0.9472,0.474,0.5688,0.1209,0.168
input/semana30/camera08/IMG_0154.JPG,GT,4.0.1a,1,1,animal,0.9451,0.4807,0.537,0.1224,0.2011
input/semana30/camera08/IMG_0155.JPG,GT,4.0.1a,1,2,human,0.966,0.5048,0.0,0.4449,0.9537
input/semana30/camera08/IMG_0156.JPG,GT,4.0.1a,1,2,human,0.7501,0.0,0.0007,0.2158,0.9537
input/semana30/camera08/IMG_0156.JPG,GT,4.0.1a,2,2,human,0.4752,0.0,0.0026,0.0737,0.9504
input/semana30/camera08/IMG_0156.JPG,GT,4.0.1a,3,2,human,0.021,0.0,0.0007,0.0376,0.2097
input/semana30/camera08/IMG_0157.JPG,GT,4.0.1a,1,2,human,0.9718,0.0,0.0,0.4342,0.9544
input/semana30/camera08/IMG_0158.JPG,GT,4.0.1a,1,2,human,0.961,0.0004,0.0007,0.3166,0.9544
input/semana30/camera08/IMG_0159.JPG,GT,4.0.1a,1,2,human,0.9699,0.0,0.0007,0.2496,0.9544
input/semana30/camera08/IMG_0160.JPG,GT,4.0.1a,1,2,human,0.9121,0.0004,0.0007,0.5015,0.9544
input/semana30/camera08/IMG_0161.JPG,GT,4.0.1a,1,2,human,0.9505,0.3906,0.0,0.6086,0.9544
input/semana30/camera08/IMG_0162.JPG,GT,4.0.1a,1,2,human,0.9663,0.5677,0.0007,0.4323,0.9537
input/semana30/camera08/IMG_0162.JPG,GT,4.0.1a,2,3,vehicle,0.1176,0.58,0.0007,0.0889,0.1118
input/semana30/camera08/IMG_0163.JPG,GT,4.0.1a,1,2,human,0.9476,0.3705,0.0079,0.6287,0.9444
input/semana30/camera08/IMG_0163.JPG,GT,4.0.1a,2,2,human,0.2995,0.564,0.0007,0.2831,0.1951
input/semana30/camera08/IMG_0163.JPG,GT,4.0.1a,3,2,human,0.1935,0.8382,0.0007,0.1618,0.4061
input/semana30/camera08/IMG_0163.JPG,GT,4.0.1a,4,2,human,0.0722,0.5658,0.0013,0.4342,0.3995
input/semana30/camera08/IMG_0163.JPG,GT,4.0.1a,5,2,human,0.0125,0.561,0.0026,0.3415,0.7612
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,1,2,human,0.967,0.4222,0.0013,0.577,0.953
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,2,2,human,0.4144,0.4937,0.0007,0.1704,0.1872
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,3,2,human,0.0244,0.494,0.0,0.224,0.5112
input/semana30/camera08/IMG_0164.JPG,GT,4.0.1a,4,2,human,0.0195,0.4944,0.0,0.0699,0.0688
